ClimNo,StasName,Latitude,Long,Height,Synop,Synop,Iarea,Description,
0003108A7,STRUISBAAI,-34.8008,20.0589,3,9192,68921,FACT,ELEC_TEMP,
0005609 8,STRAND,-34.1411,18.8489,7,9208,68911,FACT,ELEC_TEMP,
0006038 5,ELGIN EXP FARM,-34.1394,19.0228,311,9187,68925,FACT,ELEC_TEMP,
0006386A7,HERMANUS,-34.4325,19.2247,16,9265,68918,FACT,ELEC_TEMP,
0007699A0,TYGERHOEK,-34.1497,19.9031,157,102,68923,FACT,ELEC_TEMP,
0010682 0,STILBAAI,-34.3689,21.3914,103,9235,68927,FAGG,ELEC_TEMP,
0012221 5,MOSSEL BAY,-34.1894,22.1317,136,9990,68928,FAGG,ELEC_TEMP,
0012661A7,GEORGE AWS,-34.0019,22.3833,187,10209,68830,FAGG,ELEC_TEMP,
0014123 3,KNYSNA,-34.0489,23.0814,54,9236,68935,FAGG,ELEC_TEMP,
0014545 4,PLETTENBERGBAAI,-34.0897,23.3258,139,9237,68931,FAGG,ELEC_TEMP,
0015692A4,TSITSIKAMMA,-34.0228,23.8986,7,161,68933,FAGG,ELEC_TEMP,
0017582A1,CAPE ST FRANCIS,-34.2122,24.8358,9,170,68939,FAPE,ELEC_TEMP,
0020618 X,ROBBENEILAND,-33.7989,18.3744,2,9239,68813,FACT,ELEC_TEMP,
0020746 6,MOLTENO RESERVOIR,-33.9375,18.4108,97,9240,68819,FACT,ELEC_TEMP,
0020780 4,KIRSTENBOSCH,-33.9919,18.4328,156,190,68812,FACT,ELEC_TEMP,
0020805 3,CAPE TOWN - ROYAL YACHT CLUB,-33.9204,18.4430,11,9241,68817,FACT,ELEC_TEMP,
0020846 4,ATLANTIS,-33.6078,18.4831,121,200,68809,FACT,ELEC_TEMP,
0020866 9,S A ASTRONOMICAL OBSERVATORY,-33.9350,18.4775,15,202,68820,FACT,ELEC_TEMP,
0021748 6,JONKERSHOEK,-33.9678,18.9222,234,235,68822,FACT,ELEC_TEMP,
0021823 0,PAARL,-33.7217,18.9719,109,9253,68713,FACT,ELEC_TEMP,
0021879 8,WELLINGTON,-33.6511,19.0067,176,9514,68810,FACT,ELEC_TEMP,
0022729 X,WORCESTER-AWS,-33.6639,19.4186,204,9242,68821,FACT,ELEC_TEMP,
0028776 9,GEORGE WITFONTEIN,-33.9353,22.4269,263,9425,68829,FAGG,ELEC_TEMP,
0031650A4,JOUBERTINA AWS,-33.8283,23.8586,545,9243,68833,FAGG,ELEC_TEMP,
0033556 5,PATENSIE,-33.7653,24.8233,97,9244,68835,FAPE,ELEC_TEMP,
0034763 X,UITENHAGE,-33.7142,25.4350,157,9245,68839,FAPE,ELEC_TEMP,
0035178A3,PORT ELIZABETH AWS,-33.9825,25.6136,60,10040,68844,FAPE,ELEC_TEMP,
0035288 9,NGQURA (COEGA),-33.7967,25.6753,36,9123,68837,FAPE,ELEC_TEMP,
0037574 1,PORT ALFRED - AIRPORT,-33.5594,26.8811,84,9246,68843,FAPE,ELEC_TEMP,
0040192 4,GEELBEK,-33.1961,18.1242,4,533,68811,FACT,ELEC_TEMP,
0041347 X,LANGGEWENS,-33.2764,18.7061,179,544,68716,FACT,ELEC_TEMP,
0041388 0,MALMESBURY,-33.4725,18.7183,108,9256,68715,FACT,ELEC_TEMP,
0041841 X,PORTERVILLE,-33.0128,18.9772,122,9247,68717,FACT,ELEC_TEMP,
0045642 0,LAINGSBURG,-33.1908,20.8628,656,9204,68723,FAGG,ELEC_TEMP,
0046480 6,LADISMITH,-33.5008,21.2758,538,9205,68825,FAGG,ELEC_TEMP,
0055447A7,ADDO ELEPHANT PARK,-33.4422,25.7486,143,756,68841,FAPE,ELEC_TEMP,
0056917 8,GRAHAMSTOWN,-33.2906,26.5028,642,9248,68849,FAPE,ELEC_TEMP,
0061298 8,LANGEBAANWEG AWS,-32.9725,18.1578,31,833,68714,FACT,ELEC_TEMP,
0063807 2,EXCELSIOR CERES,-32.9633,19.4306,958,9249,68719,FACT,ELEC_TEMP,
0078227A3,FORT BEAUFORT,-32.7881,26.6294,455,9542,68747,FAPE,ELEC_TEMP,
0079504 X,BISHO,-32.9000,27.2800,590,1039,68752,FAEL,ELEC_TEMP,
0079811A0,DOHNE - AGR,-32.5350,27.4675,901,1057,68754,FAEL,ELEC_TEMP,
0083572 8,LAMBERTSBAAI NORTIER,-32.0349,18.3325,94,9203,68613,FACV,ELEC_TEMP,
0084058 X,REDELINGSHUYS-AWS,-32.4814,18.5369,19,9998,68710,FACV,ELEC_TEMP,
0084671 0,CLANWILLIAM,-32.1767,18.8881,103,9333,68711,FACV,ELEC_TEMP,
0092081 5,BEAUFORT-WES,-32.3475,22.5731,899,9381,68727,FAGG,ELEC_TEMP,
0123685 X,QUEENSTOWN,-31.9175,26.8783,1104,9201,68647,FAEL,ELEC_TEMP,
0126039 0,ALL SAINTS AWS,-31.6575,28.0431,836,10116,68665,FAUT,ELEC_TEMP,
0144791 2,NOUPOORT,-31.1863,24.9604,1495,1817,68633,FADY,ELEC_TEMP,
0148352 8,BUFFELSFONTEIN,-31.3694,26.6969,1763,1912,68648,FAEL,ELEC_TEMP,
0148517A9,JAMESTOWN,-31.1211,26.8097,1602,1917,68649,FAEL,ELEC_TEMP,
0150620AX,ELLIOT,-31.3381,27.8450,1463,9267,68651,FAEL,ELEC_TEMP,
0155394A5,PORT EDWARD,-31.0670,30.2330,11,9166,68587,FADN,ELEC_TEMP,
0173032 4,GARIEP DAM,-30.5621,25.5278,1272,9124,68543,FADY,ELEC_TEMP,
0175678A0,ALIWAL-NORTH PLAATKOP,-30.8029,26.8834,1350,9572,68546,FABL,ELEC_TEMP,
0176413 3,LADY GREY - IDEAL,-30.8864,27.2344,1794,2233,68553,FABL,ELEC_TEMP,
0182465 7,PADDOCK,-30.7544,30.2578,506,2329,68579,FADN,ELEC_TEMP,
0182591A4,MARGATE,-30.8500,30.3330,154,9404,68591,FADN,ELEC_TEMP,
0184491 4,KOINGNAAS,-30.1956,17.2903,95,9219,68513,FASB,ELEC_TEMP,
0190868 1,BRANDVLEI,-30.4648,20.4786,923,2361,68523,FACV,ELEC_TEMP,
0210099A7,IXOPO,-30.1525,30.0747,937,9227,68575,FADN,ELEC_TEMP,
0211324 3,PENNINGTON SOUTH,-30.3997,30.6858,15,9428,68585,FADN,ELEC_TEMP,
0224400 8,PRIESKA,-29.6700,22.7400,949,9229,68527,FADY,ELEC_TEMP,
0232654 4,WEPENER,-29.9156,26.8469,1414,9415,68549,FABL,ELEC_TEMP,
0232707 1,KNELLPOORTDAM,-29.7861,26.9031,1468,2818,68542,FABL,ELEC_TEMP,
0239698 5,PIETERMARITZBURG,-29.6330,30.4000,673,9220,68581,FADN,ELEC_TEMP,
0240808A2,DURBAN SOUTH AWS,-29.9650,30.9467,14,2940,68588,FADN,ELEC_TEMP,
0241072 9,MOUNT EDGECOMBE,-29.7000,31.0500,94,2966,68583,FADN,ELEC_TEMP,
0241076 6,VIRGINIA,-29.7670,31.0500,14,9190,68593,FADN,ELEC_TEMP,
0261307A4,BLOEMFONTEIN - STAD,-29.1206,26.1875,1406,9271,68443,FABL,ELEC_TEMP,
0268016AX,GIANTS CASTLE AWS,-29.2653,29.5225,1762,9419,68589,FADN,ELEC_TEMP,
0268883 6,MOOI RIVER,-29.2175,30.0025,1388,9328,68485,FADN,ELEC_TEMP,
0269894 1,KOKSTAD,-30.5014,29.3972,1443,9424,68577,FADN,ELEC_TEMP,
0270155 9,GREYTOWN,-29.0830,30.6000,1029,9275,68487,FADN,ELEC_TEMP,
0271699 2,MANDINI,-29.1500,31.4000,112,9262,68494,FADN,ELEC_TEMP,
0274034A4,ALEXANDERBAAI,-28.5700,16.5286,22,9270,68403,FASB,ELEC_TEMP,
0276196 8,VIOOLSDRIF - AWS,-28.7694,17.6233,178,9198,68411,FASB,ELEC_TEMP,
0281606A5,AUGRABIES FALLS,-28.5950,20.3400,635,3362,68425,FAUP,ELEC_TEMP,
0291570 1,FAURESMITH,-29.7535,25.3230,1387,10217,68541,FABL,ELEC_TEMP,
0293597A6,GLEN COLLEGE AWS,-28.9420,26.3258,1303,3507,68447,FABL,ELEC_TEMP,
0296709AX,FICKSBURG,-28.8272,27.9041,1628,9286,68449,FABM,ELEC_TEMP,
0300454 3,LADYSMITH,-28.5670,29.7670,1069,9273,68479,FADN,ELEC_TEMP,
0304357 6,MTUNZINI,-28.9500,31.7000,38,9218,68497,FADN,ELEC_TEMP,
0305134 6,RICHARDS BAY AIRPORT,-28.7300,32.0800,36,9597,68495,FADN,ELEC_TEMP,
0321110 7,POSTMASBURG,-28.3458,23.0792,1321,3860,68429,FAKM,ELEC_TEMP,
0333682A9,VAN REENEN,-28.3789,29.3853,1683,9272,68471,FABM,ELEC_TEMP,
0337738 2,ULUNDI,-28.3000,31.4200,524,4372,68493,FADN,ELEC_TEMP,
0339327 3,RIVERVIEW,-28.4442,32.1819,50,4389,68492,FADN,ELEC_TEMP,
0339732A9,CHARTERS CREEK,-28.2000,32.4170,8,9387,68491,FADN,ELEC_TEMP,
0356880 4,KATHU,-27.6719,23.0106,1186,9103,68331,FAUP,ELEC_TEMP,
0360453A0,TAUNG,-27.5453,24.7686,1115,4502,68335,FAKM,ELEC_TEMP,
0362189 7,BLOEMHOF,-27.6511,25.6219,1225,9197,68343,FABL,ELEC_TEMP,
0364300 1,WELKOM,-27.9947,26.6658,1343,9283,68345,FABL,ELEC_TEMP,
0365398 8,KROONSTAD,-27.6664,27.3136,1440,9284,68355,FABM,ELEC_TEMP,
0369118A3,WARDEN - HERITAGE,-27.9611,29.0594,1765,4861,68376,FABM,ELEC_TEMP,
0370856 3,NEWCASTLE,-27.7689,29.9767,1241,9215,68377,FAEO,ELEC_TEMP,
0372527 1,VRYHEID,-27.7772,30.7961,1163,9269,68387,FAEO,ELEC_TEMP,
0393806 4,KURUMAN,-27.4331,23.4475,1323,5053,68333,FAKM,ELEC_TEMP,
0398822 3,WOLMARANSSTAD,-27.2139,25.9783,1349,10084,68344,FAMM,ELEC_TEMP,
0399894 4,BOTHAVILLE - BALKFONTEIN,-27.4058,26.5044,1267,5146,68348,FABL,ELEC_TEMP,
0405326A9,VREDE,-27.4228,29.1694,1674,5287,68375,FABM,ELEC_TEMP,
0410175 X,PONGOLA,-27.4139,31.5917,319,9274,68481,FADN,ELEC_TEMP,
0412148 6,MBAZWANA AIRFIELD,-27.4772,32.5981,82,9388,68397,FADN,ELEC_TEMP,
0427083B8,VAN ZYLSRUS,-26.8842,22.0503,938,9280,68329,FAUP,ELEC_TEMP,
0436204 1,KLERKSDORP,-26.9000,26.6170,1322,9417,68347,FAMM,ELEC_TEMP,
0437104A4,POTCHEFSTROOM,-26.7359,27.0755,1351,5610,68350,FAMM,ELEC_TEMP,
0438784 3,VEREENIGING,-26.5670,27.9500,1479,5661,68353,FAJS,ELEC_TEMP,
0472278 0,LICHTENBURG,-26.1330,26.1670,1485,9196,68341,FAMM,ELEC_TEMP,
0473559A3,VENTERSDORP,-26.3170,26.8170,1494,9330,68349,FALA,ELEC_TEMP,
0475879 0,JHB BOT TUINE,-26.1500,28.0000,1624,6054,68361,FAJS,ELEC_TEMP,
0476762A3,SPRINGS,-26.2058,28.4386,1592,6156,68363,FAJS,ELEC_TEMP,
0478330 3,SECUNDA,-26.4989,29.1878,1628,6200,68371,FAEO,ELEC_TEMP,
0504833 6,TOSCA,-25.8781,23.9661,895,9427,68237,FAMM,ELEC_TEMP,
0511399 X,RUSTENBURG,-25.6500,27.2330,1150,9277,68255,FAIR,ELEC_TEMP,
0511855A9,BUFFELSPOORT II AGR,-25.7500,27.4830,1230,6500,68254,CFO,ELEC_TEMP,
0512554 4,HARTEBEESPOORT DAM,-25.7489,27.8303,1170,10070,68258,CFO,ELEC_TEMP,
0513239 0,GRAND CENTRAL,-25.9833,28.1333,1621,9162,68265,FAJS,ELEC_TEMP,
0513314C9,PRETORIA EENDRACHT,-25.7422,28.1833,1308,6590,68262,CFO,ELEC_TEMP,
0513346 0,PRETORIA UNISA,-25.7700,28.2000,1439,6599,68269,FAIR,ELEC_TEMP,
0513369A5,WONDERBOOM AIRPORT,-25.6561,28.2169,1238,9994,68266,FAIR,ELEC_TEMP,
0514408AX,BRONKHORSTSPRUIT AWS,-25.8086,28.7389,1394,10007,68274,CFO,ELEC_TEMP,
0515320 8,WITBANK,-25.8369,29.1886,1555,9216,68273,FAIR,ELEC_TEMP,
0517041 2,BELFAST,-25.6917,30.0344,1879,9392,68285,FAEO,ELEC_TEMP,
0517372 0,MACHADODORP AWS,-25.7161,30.2303,1652,10211,68286,FAEO,ELEC_TEMP,
0520691 2,KOMATIDRAAI,-25.5145,31.9103,188,6921,68297,FAKN,ELEC_TEMP,
0546630 3,MARICO,-25.5000,26.3500,1082,7000,68248,FAMM,ELEC_TEMP,
0548375A4,PILANESBERG,-25.2614,27.2286,1085,7025,68257,FAIR,ELEC_TEMP,
0552581 7,OUDESTAD,-25.1800,29.3300,953,7115,68272,FAIR,ELEC_TEMP,
0554816A7,LYDENBURG,-25.1119,30.4766,1433,7168,68185,FAKN,ELEC_TEMP,
0555750 9,NELSPRUIT,-25.5000,30.9166,883,7220,68289,FAKN,ELEC_TEMP,
0585341 8,MADIKWE GAME RESERVE,-24.6903,26.1944,1027,9423,68241,FAMM,ELEC_TEMP,
0587725CX,THABAZIMBI,-24.5829,27.4170,977,9276,68253,CFO,ELEC_TEMP,
0589594 1,WARMBAD TOWOOMBA,-24.9000,28.3300,1143,7404,68268,CFO,ELEC_TEMP,
0594626B9,GRASKOP AWS,-24.9330,30.8500,1436,9217,68287,FAKN,ELEC_TEMP,
0633882 7,MOKOPANE,-24.2056,29.0117,1107,9278,68271,FAPB,ELEC_TEMP,
0638081 1,HOEDSPRUIT,-24.3500,31.0500,524,9279,68291,FAPB,ELEC_TEMP,
0674341 8,LEPHALALE,-23.6800,27.7000,839,7888,68155,FAPB,ELEC_TEMP,
0675666 2,MARKEN,-23.6000,28.3830,996,9375,68163,FAPB,ELEC_TEMP,
0679194 5,TZANEEN-WESTFALIA ESTATE,-23.7389,30.1211,840,9426,68188,FAPB,ELEC_TEMP,
0681266D1,PHALABORWA AIRPORT AWS,-23.9361,31.1547,432,9386,68191,FAPB,ELEC_TEMP,
0722099 1,MARA,-23.1500,29.5700,894,8179,68176,FAPB,ELEC_TEMP,
0723485A0,LEVUBU,-23.0798,30.2800,706,8250,68182,FATH,ELEC_TEMP,
0724318 9,GIYANI,-23.3142,30.6856,455,10102,68187,FATH,ELEC_TEMP,
0808567 2,VENETIA MINE,-22.4517,29.3314,698,10127,68172,FAPB,ELEC_TEMP,
0012661 7,GEORGE WO,-34.0019,22.3833,187,152,68828,FAGG,WEATHER_OF,
0021178A3,CAPE TOWN WO,-33.9789,18.6000,42,213,68816,FACT,WEATHER_OF,
0059572B8,EAST LONDON WO,-33.0342,27.8294,125,825,68858,FAEL,WEATHER_OF,
0127272A4,UMTHATHA WO,-31.5300,28.6700,747,1669,68668,FAUT,WEATHER_OF,
0134479A3,CALVINIA WO,-31.4822,19.7619,977,1703,68618,FACV,WEATHER_OF,
0169880 1,DE AAR WO,-30.6650,23.9928,1286,2081,68538,FADY,WEATHER_OF,
0214700B2,SPRINGBOK WO,-29.6694,17.8789,1006,2645,68512,FASB,WEATHER_OF,
0241186 1,KING SHAKA INTERNATIONAL AIRPORT WO,-29.6108,31.1239,106,10083,68592,FADN,WEATHER_OF,
0261516B0,BLOEMFONTEIN WO,-29.1039,26.2981,1354,3153,68442,FABL,WEATHER_OF,
0290468A9,KIMBERLEY WO,-28.8008,24.7669,1196,3440,68438,FAKM,WEATHER_OF,
0317475A8,UPINGTON WO,-28.4136,21.2597,840,3833,68424,FAUP,WEATHER_OF,
0331585 9,BETHLEHEM WO,-28.2496,28.3343,1689,4137,68461,FABM,WEATHER_OF,
0476399 0,JOHANNESBURG INT WO,-26.1500,28.2300,1695,6127,68368,FAJS,WEATHER_OF,
0479870 X,ERMELO WO,-26.4978,29.9839,1774,6256,68267,FAEO,WEATHER_OF,
0508047 0,MAFIKENG WO,-25.8037,25.5428,1281,6396,68242,FAMM,WEATHER_OF,
0513385A2,IRENE WO,-25.9100,28.2111,1526,6614,68263,FAIR,WEATHER_OF,
0556173 6,KRUGER MPUMALANGA INT. AIR.,-25.3914,31.0992,865,9432,68290,FAKN,WEATHER_OF,
0677802BX,POLOKWANE WO,-23.8572,29.4517,1226,7943,68174,FAPB,WEATHER_OF,
0723664 6,THOHOYANDOU WO,-23.0872,30.3844,614,8487,68183,FATH,WEATHER_OF,
0002425 X,ELIM SAPS ARS,-34.593,19.759,53,ELEC_RAIN,0002425 X,ELIM SAPS ARS,-34.593,19.759
0003020 4,CAPE AGULHAS,-34.826,20.013,11,ELEC_MANUAL,0003020 4,CAPE AGULHAS,-34.826,20.013
0004549 2,CAPE TOWN SLANGKOP,-34.148,18.319,8,ELEC_MANUAL,0004549 2,CAPE TOWN SLANGKOP,-34.148,18.319
0004601 7,HOUTBAY FORESTRY ARS,-34.029,18.358,54,ELEC_RAIN,0004601 7,HOUTBAY FORESTRY ARS,-34.029,18.358
0004891 9,CAPE POINT,-34.353,18.490,228,ELEC_TEMP,0004891 9,CAPE POINT,-34.353,18.490
0005154 4,MITCHELLS PLAIN WOLFGAT ARS,-34.061,18.594,29,ELEC_RAIN,0005154 4,MITCHELLS PLAIN WOLFGAT ARS,-34.061,18.594
0006361 9,VILLIERSDORP-SOS ARS,-34.017,19.226,321,ELEC_RAIN,0006361 9,VILLIERSDORP-SOS ARS,-34.017,19.226
0006813 7,GENADENDAL-MEULRIVIER ARS,-34.061,19.472,255,ELEC_RAIN,0006813 7,GENADENDAL-MEULRIVIER ARS,-34.061,19.472
0007798 2,BREDASDORP - KLIPDALE AGRI ARS,-34.308,19.965,185,ELEC_RAIN,0007798 2,BREDASDORP - KLIPDALE AGRI ARS,-34.308,19.965
0008751A1,SWELLENDAM,-34.022,20.437,152,ELEC_TEMP,0008751A1,SWELLENDAM,-34.022,20.437
0008883 0,SWELLENDAM - NAPKYSMOND ARS,-34.220,20.514,109,ELEC_RAIN,0008883 0,SWELLENDAM - NAPKYSMOND ARS,-34.220,20.514
0020839A2,KENILWORTH RACE COURSE ARS,-33.998,18.481,29,ELEC_RAIN,0020839A2,KENILWORTH RACE COURSE ARS,-33.998,18.481
0021178B8,CT-AWS,-33.979,18.600,46,ELEC_TEMP,0021178B8,CT-AWS,-33.979,18.600
0021202 5,BELLVILLE GOLF COURSE ARS,-33.871,18.622,175,ELEC_RAIN,0021202 5,BELLVILLE GOLF COURSE ARS,-33.871,18.622
0024020 9,ASHTON CELLAR ARS,-33.837,20.028,195,ELEC_RAIN,0024020 9,ASHTON CELLAR ARS,-33.837,20.028
0024147 4,BONNIEVALE - SONSKYN ARS,-33.952,20.084,150,ELEC_RAIN,0024147 4,BONNIEVALE - SONSKYN ARS,-33.952,20.084
0024192 1,MONTAGU - BADEN ARS,-33.709,20.124,359,ELEC_RAIN,0024192 1,MONTAGU - BADEN ARS,-33.709,20.124
0024780 X,SWELLENDAM - MARLOTH ARS,-34.005,20.440,200,ELEC_RAIN,0024780 X,SWELLENDAM - MARLOTH ARS,-34.005,20.440
0039781B7,SALDANHA KUSPATROLLIE ARS,-33.016,17.947,20,ELEC_RAIN,0039781B7,SALDANHA KUSPATROLLIE ARS,-33.016,17.947
0042226 1,TULBAGH - OBIQUA  ARS,-33.275,19.146,185,ELEC_RAIN,0042226 1,TULBAGH - OBIQUA  ARS,-33.275,19.146
0042563 X,CERES AWS,-33.385,19.321,461,ELEC_TEMP,0042563 X,CERES AWS,-33.385,19.321
0060620 9,CAPE COLUMBINE,-32.828,17.856,62,ELEC_MANUAL,0060620 9,CAPE COLUMBINE,-32.828,17.856
0061268 6,LANGEBAANWEG - AAWS,-32.979,18.164,32,ELEC_TEMP,0061268 6,LANGEBAANWEG - AAWS,-32.979,18.164
0063127 X,CITRUSDAL TOPDRIFT ARS,-32.640,19.091,612,ELEC_RAIN,0063127 X,CITRUSDAL TOPDRIFT ARS,-32.640,19.091
0083515AX,LAMBERTSBAAI ARS,-32.101,18.307,22,ELEC_RAIN,0083515AX,LAMBERTSBAAI ARS,-32.101,18.307
0085893 1,CALVINIA BRAKFONTEIN ARS,-32.343,19.531,289,ELEC_RAIN,0085893 1,CALVINIA BRAKFONTEIN ARS,-32.343,19.531
0088293A6,SUTHERLAND,-32.400,20.663,1458,ELEC_MANUAL,0088293A6,SUTHERLAND,-32.400,20.663
0106880A2,VREDENDAL,-31.673,18.496,42,ELEC_MANUAL,0106880A2,VREDENDAL,-31.673,18.496
0113025A2,FRASERBURG,-31.916,21.508,1264,ELEC_MANUAL,0113025A2,FRASERBURG,-31.916,21.508
0133202A2,NIEUWOUDTVILLE,-31.378,19.122,719,CLOSED,0133202A2,NIEUWOUDTVILLE,-31.378,19.122
0230810A1,LILLYDALE ARS,-30.014,25.958,1462,ELEC_RAIN,0230810A1,LILLYDALE ARS,-30.014,25.958
0232864 8,SWEETWATER ARS,-29.910,26.992,1542,ELEC_RAIN,0232864 8,SWEETWATER ARS,-29.910,26.992
0292772 8,KRUGERSDRIFT DAM ARS,-28.881,25.950,1255,ELEC_RAIN,0292772 8,KRUGERSDRIFT DAM ARS,-28.881,25.950
0295086 4,EXCELSIOR ARS,-28.938,27.061,1463,ELEC_RAIN,0295086 4,EXCELSIOR ARS,-28.938,27.061
0298512A6,WITSIESHOEK ARS,-28.534,28.796,1690,ELEC_RAIN,0298512A6,WITSIESHOEK ARS,-28.534,28.796
0326871 1,HOOPSTAD ARS,-28.019,26.006,1292,ELEC_RAIN,0326871 1,HOOPSTAD ARS,-28.019,26.006
0331121A5,LE LONG ARS,-28.017,28.084,1587,ELEC_RAIN,0331121A5,LE LONG ARS,-28.017,28.084
0365058A4,HENNENMAN ARS,-27.976,27.026,1395,ELEC_RAIN,0365058A4,HENNENMAN ARS,-27.976,27.026
0403886A0,FRANKFORT - TNK,-27.267,28.495,1509,ELEC_MANUAL,0403886A0,FRANKFORT - TNK,-27.267,28.495
0404811 2,ROOIBULT ARS,-27.019,27.969,1495,ELEC_RAIN,0404811 2,ROOIBULT ARS,-27.019,27.969
0513284 8,PRETORIA - PURIFICATION,-25.735,28.176,1286,ELEC_TEMP,0513284 8,PRETORIA - PURIFICATION,-25.735,28.176
0513435A4,PRETORIA UNIVERSITY PROEFPLAAS,-25.752,28.258,1380,ELEC_TEMP,0513435A4,PRETORIA UNIVERSITY PROEFPLAAS,-25.752,28.258
0513439A1,BOLEPI HOUSE,-25.809,28.256,1517,WEATHER_OF,0513439A1,BOLEPI HOUSE,-25.809,28.256
